fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
7,right pit,3,468,8.302459181153615e-05,True,0.0064102564102564
7,time safety,3,468,8.302459181153615e-05,True,0.0064102564102564
7,early,11,468,0.0001018336636721,True,0.0235042735042735
7,stop window,4,468,0.0001073640620315,True,0.0085470085470085
7,traffic,6,468,0.0001484744694418,True,0.0128205128205128
7,signs,9,468,0.0002007353245602,True,0.0192307692307692
7,28 seconds,3,468,0.0002032772014594,True,0.0064102564102564
8,overtake,21,49,3.405249196638852e-38,True,0.4285714285714285
8,overtaking,15,49,3.9008086066653166e-28,True,0.3061224489795918
8,overtakes,8,49,1.3140809612529285e-15,True,0.1632653061224489
8,overtake start,3,49,2.3004025076971922e-08,True,0.0612244897959183
8,start finish,4,49,3.619666199847106e-07,True,0.0816326530612244
8,finish line,3,49,1.2751113974055454e-06,True,0.0612244897959183
8,ve seen,5,49,9.751990708699252e-06,True,0.1020408163265306
8,lot overtaking,2,49,2.4730795299771e-05,True,0.0408163265306122
8,brilliant,4,49,3.091305257017491e-05,True,0.0816326530612244
8,easy,4,49,4.202449274416401e-05,True,0.0816326530612244
8,overtaking going,2,49,4.936976264333775e-05,True,0.0408163265306122
8,plenty overtakes,2,49,4.936976264333775e-05,True,0.0408163265306122
8,finish,4,49,0.0001020289647001,True,0.0816326530612244
8,seen,5,49,0.0001069407739476,True,0.1020408163265306
8,possibility,2,49,0.0002286868464707,True,0.0408163265306122
