cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
22,wheel wheel,1,51,90,71,0.836,1.5341493701818174e-89,1.0077520382850323e-85,True
22,wheels,0,5,29,71,0.269,5.975195195783857e-06,0.0014118655468368703,True
23,corner racetrack,1,5,6,72,0.056,3.829358918883047e-10,1.7967352047399257e-07,True
23,racetrack,0,58,86,72,0.81,1.603602072534758e-110,1.170415699340702e-106,True
23,turn racetrack,1,4,6,72,0.056,1.0685672948469417e-07,3.63272319902291e-05,True
23,turns racetrack,1,2,3,72,0.028,0.00026069191844246673,0.0403875724968131,True
24,car,0,42,400,60,3.138,7.207941405555887e-41,1.6326732932695004e-37,True
24,car ahead,1,4,12,60,0.094,1.6176051344205832e-06,0.00045312258451948514,True
24,car length,1,6,7,60,0.055,1.2566712036630058e-12,8.254821802621553e-10,True
24,car lengths,1,6,8,60,0.063,4.996235818981703e-12,2.983570349793365e-09,True
24,car width,1,3,5,60,0.039,4.542110742305925e-06,0.0011497578822373471,True
24,cars,0,13,87,60,0.683,7.106660184872666e-14,5.2748281833210806e-11,True
24,couple,0,5,63,60,0.494,0.0001245225243864533,0.021108736985541533,True
24,couple car,1,4,5,60,0.039,1.702548235410323e-08,6.637209999266071e-06,True
24,flat,0,3,12,60,0.094,9.60846513543841e-05,0.017174445110657913,True
24,flat floor,1,3,6,60,0.047,9.033444384904008e-06,0.0020857254648702092,True
24,floor,0,3,11,60,0.086,7.24678897993932e-05,0.013447092500402658,True
24,got car,1,4,9,60,0.071,4.190741997064134e-07,0.00012729468158003185,True
24,length,0,6,8,60,0.063,4.996235818981703e-12,2.983570349793365e-09,True
24,length ahead,1,3,3,60,0.024,4.593337766138284e-07,0.000139044779346586,True
24,lengths,0,6,8,60,0.063,4.996235818981703e-12,2.983570349793365e-09,True
24,positions car,1,2,3,60,0.024,0.0001807161629060509,0.02967720827243168,True
24,width,0,4,6,60,0.047,5.077709970783966e-08,1.8377113639716646e-05,True
25,board nation,1,3,4,69,0.036,2.7949138893207087e-06,0.0007493563410681579,True
25,contract,0,2,3,69,0.027,0.00023933654887572264,0.03721074372200821,True
25,driver,0,49,207,69,1.868,2.8583314421495315e-63,9.882003987995707e-60,True
25,driver getting,1,3,3,69,0.027,7.032826970165087e-07,0.00020669903266944258,True
25,driver trying,1,3,4,69,0.036,2.7949138893207087e-06,0.0007493563410681579,True
25,drivers,0,13,69,69,0.623,2.0941987648813822e-14,1.627973117958914e-11,True
25,nation,0,28,127,69,1.146,6.196075134968726e-33,1.0571630739372095e-29,True
25,nation driver,1,27,75,69,0.677,2.533029012140562e-38,5.367406766112555e-35,True
26,battle,0,20,110,110,1.582,3.7077509377696205e-17,3.454677214187387e-14,True
26,defend,0,19,40,110,0.575,2.0299433510792208e-25,2.6668583769138373e-22,True
26,defended,0,3,5,110,0.072,2.8364544822819134e-05,0.00571536877399185,True
26,defense,0,4,21,110,0.302,0.00020087987060734322,0.03262150047084094,True
26,defensive,0,11,39,110,0.561,3.930718586880926e-12,2.4474032467775763e-09,True
26,fight,0,30,114,110,1.64,8.976054730324143e-31,1.4380953246964201e-27,True
26,fights,0,4,22,110,0.316,0.00024281289140492152,0.0377066033347671,True
26,going,0,26,894,110,12.86,0.00030054208910407915,0.046018668412747675,True
